state,abbr,LA Tracts,Population,Pop in LA Tracts,rate,food desert rank,pov_rate,pov_rank
Alabama,AL,490,4779736,1158432,24.2,28,15.6,5
Alaska,AK,88,710231,242611,34.2,2,12.6,16
Arizona,AZ,656,6392017,1675205,26.2,20,13.2,13
Arkansas,AR,341,2915918,698770,24,30,15.4,6
California,CA,1968,37253956,4987023,13.4,48,12,19
Colorado,CO,488,5029196,1138378,22.6,36,9,43
Connecticut,CT,391,3574097,1065240,29.8,6,10.4,34
Delaware,DE,94,897934,228397,25.4,24,8.1,47
Florida,FL,1833,18801310,4831153,25.7,22,13.5,11
Georgia,GA,982,9687653,2985409,30.8,4,14,10
Hawaii,HI,124,1360301,370220,27.2,13,9.9,39
Idaho,ID,157,1567582,412449,26.3,19,11.5,24
Illinois,IL,994,12830632,2483870,19.4,44,10.9,31
Indiana,IN,603,6483802,1641188,25.3,26,11.6,23
Iowa,IA,348,3046355,652112,21.4,38,8.2,46
Kansas,KS,373,2853118,752883,26.4,17,10.9,30
Kentucky,KY,328,4339367,782537,18,45,14.6,7
Louisiana,LA,494,4533372,1214231,26.8,15,19.8,1
Maine,ME,86,1328361,184908,13.9,47,12,18
Maryland,MD,496,5773552,1300047,22.5,37,7.8,49
Massachusetts,MA,615,6547629,1837769,28.1,11,10,38
Michigan,MI,979,9883640,2252119,22.8,35,11,29
Minnesota,MN,619,5303925,1488290,28.1,10,8.2,45
Mississippi,MS,348,2967297,764711,25.8,21,19,2
Missouri,MO,638,5988927,1531378,25.6,23,11.9,21
Montana,MT,137,989415,240683,24.3,27,10.3,35
Nebraska,NE,238,1826341,389221,21.3,39,11,28
Nevada,NV,239,2700551,649943,24.1,29,13.1,15
New Hampshire,NH,122,1316470,378463,28.7,8,6.6,50
New Jersey,NJ,744,8791894,2084495,23.7,32,9.1,42
New Mexico,NM,269,2059179,685386,33.3,3,18.2,3
New York,NY,907,19378102,2249716,11.6,50,11.9,20
North Carolina,NC,925,9535483,2247614,23.6,33,14.1,8
North Dakota,ND,112,672591,197562,29.4,7,11.1,27
Ohio,OH,1211,11536504,2920636,25.3,25,12.4,17
Oklahoma,OK,466,3751351,993416,26.5,16,13.1,14
Oregon,OR,294,3831074,656670,17.1,46,10.6,33
Pennsylvania,PA,1065,12702379,2682895,21.1,42,11.4,25
Rhode Island,RI,98,1052567,250339,23.8,31,10.1,37
South Carolina,SC,494,4625364,1314986,28.4,9,14,9
South Dakota,SD,139,814180,278972,34.3,1,10.7,32
Tennessee,TN,658,6346105,1768503,27.9,12,11.7,22
Texas,TX,2445,25145561,6807706,27.1,14,13.4,12
Utah,UT,263,2763885,728134,26.3,18,7.8,48
Vermont,VT,39,625741,78547,12.6,49,9.2,41
Virginia,VA,727,8001024,1635288,20.4,43,10.1,36
Washington,WA,617,6724540,1569714,23.3,34,9.7,40
West Virginia,WV,174,1852994,392091,21.2,41,16.5,4
Wisconsin,WI,523,5686986,1203978,21.2,40,8.9,44
Wyoming,WY,79,563626,169726,30.1,5,11.2,26
